DESTINATION;Eastern_Africa_CHANGE;Middle_Africa_CHANGE;Northern_Africa_CHANGE;Southern_Africa_CHANGE;Western_Africa_CHANGE;Central_Asia_CHANGE;Eastern_Asia_CHANGE;Southern_Asia_CHANGE;SouthEastern_Asia_CHANGE;Western_Asia_CHANGE;Eastern_Europe_CHANGE;Northern_Europe_CHANGE;Southern_Europe_CHANGE;Western_Europe_CHANGE;Caribbean_CHANGE;Central_America_CHANGE;South_America_CHANGE;Northern_America_CHANGE;Oceania_CHANGE
Eastern Africa;473757;116921;29422;1131;257;0;535;4160;10;2274;131;834;484;2371;0;0;0;837;2
Middle Africa;22662;60016;-17125;485;16162;0;31;0;0;88;49;17;1113;2216;8;0;0;152;0
Northern Africa;84786;15918;3627;-72;2847;-55;-101;-31;-673;-49009;-1311;-453;-578;-470;-6;-36;-87;-753;-82
Southern Africa;75623;7876;830;37005;2602;3;2665;3906;510;1160;2248;8657;6014;8841;139;47;662;1476;949
Western Africa;-62;7854;632;-32;120859;-2;9;-61;-6;19;52;8;19;1106;-181;-16;-71;95;-39
Central Asia;-1;0;-1;0;-1;5970;2333;-88;-4;2071;54458;72;195;5300;-1;0;0;-3;-1
Eastern Asia;0;0;67;14;198;214;115021;3943;26642;6;565;1367;303;890;0;84;12168;4486;884
Southern Asia;-42;0;2;2;-7;-11551;3868;-558745;13502;-507;-13;1102;45;-7;0;0;355;1063;-3
South-Eastern Asia;23;19;90;25;11;0;26087;29848;184633;514;13;1410;143;580;4;6;39;2672;1163
Western Asia;22569;331;246518;-310;1291;1644;1534;1336304;353593;818481;85471;8035;38250;62696;22;-36;-1461;1620;462
Eastern Europe;150;75;1219;93;374;9389;5776;1874;3302;10904;135046;11104;34373;16271;154;190;-660;3107;161
Northern Europe;49587;3766;11571;11889;23190;108;24699;118803;31220;70342;99005;95233;46835;45047;11849;1368;12335;22396;11373
Southern Europe;959;3807;19255;222;7548;-429;5554;7661;3330;3233;38065;6377;-20722;15304;4379;1784;28789;1754;358
Western Europe;24237;6514;43411;5028;19532;189393;36056;95580;54204;358598;848413;57842;296558;182787;-51769;6155;33284;31449;4828
Caribbean;2;1;-1;4;13;0;85;106;104;22;-30;326;296;956;12002;31;1232;-2377;9
Central America;3;5;24;7;14;0;1524;232;98;165;201;261;1154;871;1166;13097;5222;24796;30
South America;74;224;184;895;146;0;5014;133;157;1330;1370;1483;21394;4904;2497;1434;122295;3410;147
Northern America;27448;4250;22729;5047;26495;4030;178357;157848;176174;56749;78632;62624;66963;51390;214220;526447;111802;40721;9463
Oceania;6987;293;3829;10537; ;190;37939;36721;48200;14352;8668;77387;31205;17561;380;925;5773;9406;44703
